"KO"	"extracted_text"
"165"	"K08869"	"TRINITY_DN1002891_c0_g1_i1"
"168"	"K23611"	"TRINITY_DN1002973_c0_g1_i1"
"169"	"K15010"	"TRINITY_DN1002985_c0_g1_i1"
"170"	"K12834"	"TRINITY_DN1002988_c0_g1_i1"
"173"	"K10357"	"TRINITY_DN1003088_c0_g1_i1"
"174"	"K12001"	"TRINITY_DN10030_c0_g1_i2"
"177"	"K06072"	"TRINITY_DN1003172_c0_g1_i1"
"180"	"K02677"	"TRINITY_DN1003198_c0_g1_i1"
"185"	"K08955"	"TRINITY_DN100331_c2_g1_i1"
"188"	"K12625"	"TRINITY_DN1003378_c0_g1_i1"
"206"	"K10396"	"TRINITY_DN1003630_c0_g1_i1"
"207"	"K26273"	"TRINITY_DN1003637_c0_g1_i1"
"211"	"K04372"	"TRINITY_DN1003698_c0_g1_i1"
"212"	"K18436"	"TRINITY_DN1003714_c0_g1_i1"
"218"	"K05648"	"TRINITY_DN1003768_c0_g1_i1"
"222"	"K02129"	"TRINITY_DN1003813_c0_g1_i1"
"224"	"K12323"	"TRINITY_DN1003831_c0_g1_i1"
"228"	"K00434"	"TRINITY_DN1003909_c0_g1_i1"
"229"	"K10364"	"TRINITY_DN1003918_c0_g1_i1"
"235"	"K18460"	"TRINITY_DN1004066_c0_g1_i1"
"253"	"K07893"	"TRINITY_DN1004295_c0_g1_i1"
"255"	"K03283"	"TRINITY_DN1004310_c0_g1_i1"
"269"	"K00939"	"TRINITY_DN1004557_c0_g1_i1"
"271"	"K23341"	"TRINITY_DN1004595_c0_g1_i1"
"279"	"K12663"	"TRINITY_DN1004738_c0_g1_i1"
"287"	"K13109"	"TRINITY_DN1004842_c0_g1_i1"
"300"	"K01802"	"TRINITY_DN1005055_c0_g1_i1"
"303"	"K12842"	"TRINITY_DN1005134_c0_g1_i1"
"308"	"K13448"	"TRINITY_DN1005152_c0_g1_i1"
"327"	"K05681"	"TRINITY_DN1005419_c0_g1_i1"
"329"	"K15172"	"TRINITY_DN1005461_c0_g1_i1"
"339"	"K04077"	"TRINITY_DN100556_c0_g1_i1"
"341"	"K08688"	"TRINITY_DN1005578_c0_g1_i1"
"344"	"K00615"	"TRINITY_DN100567_c0_g1_i1"
"345"	"K00615"	"TRINITY_DN100567_c0_g1_i2"
"346"	"K00615"	"TRINITY_DN100567_c0_g2_i1"
"347"	"K00615"	"TRINITY_DN100567_c3_g1_i1"
"349"	"K21991"	"TRINITY_DN1005733_c0_g1_i1"
"351"	"K00597"	"TRINITY_DN1005763_c0_g1_i1"
"359"	"K09228"	"TRINITY_DN1005933_c0_g1_i1"
"363"	"K15601"	"TRINITY_DN1006009_c0_g1_i1"
"367"	"K13412"	"TRINITY_DN1006166_c0_g1_i1"
"374"	"K02989"	"TRINITY_DN1006253_c0_g1_i1"
"383"	"K01889"	"TRINITY_DN1006395_c0_g1_i1"
"391"	"K25392"	"TRINITY_DN1006509_c0_g1_i1"
"401"	"K09480"	"TRINITY_DN1006614_c0_g1_i1"
"404"	"K22830"	"TRINITY_DN1006670_c0_g1_i1"
"405"	"K14775"	"TRINITY_DN1006751_c0_g1_i1"
"406"	"K09578"	"TRINITY_DN1006768_c0_g1_i1"
"412"	"K03350"	"TRINITY_DN1006839_c0_g1_i1"
"414"	"K10908"	"TRINITY_DN1006852_c0_g1_i1"
"422"	"K01693"	"TRINITY_DN1007017_c0_g1_i1"
"432"	"K18085"	"TRINITY_DN1007155_c0_g1_i1"
"433"	"K10408"	"TRINITY_DN1007169_c0_g1_i1"
"435"	"K10643"	"TRINITY_DN10071_c0_g1_i1"
"437"	"K10643"	"TRINITY_DN10071_c0_g1_i3"
"441"	"K10251"	"TRINITY_DN1007261_c0_g1_i1"
"442"	"K21767"	"TRINITY_DN1007270_c0_g1_i1"
"443"	"K00514"	"TRINITY_DN1007281_c0_g1_i1"
"456"	"K13095"	"TRINITY_DN1007410_c0_g1_i1"
"457"	"K15172"	"TRINITY_DN1007412_c0_g1_i1"
"461"	"K20773"	"TRINITY_DN1007480_c0_g1_i1"
"465"	"K04552"	"TRINITY_DN1007549_c0_g1_i1"
"470"	"K20456"	"TRINITY_DN1007632_c0_g1_i1"
"474"	"K03979"	"TRINITY_DN1007756_c0_g1_i1"
"475"	"K05350"	"TRINITY_DN1007772_c0_g1_i1"
"476"	"K22758"	"TRINITY_DN1007776_c0_g1_i1"
"488"	"K03106"	"TRINITY_DN10078_c0_g1_i1"
"492"	"K09489"	"TRINITY_DN1007997_c0_g1_i1"
"498"	"K12162"	"TRINITY_DN1008128_c0_g1_i1"
"519"	"K24242"	"TRINITY_DN1008432_c0_g1_i1"
"530"	"K02993"	"TRINITY_DN1008734_c0_g1_i1"
"531"	"K14856"	"TRINITY_DN1008753_c0_g1_i1"
"548"	"K16669"	"TRINITY_DN1009174_c0_g1_i1"
"549"	"K13293"	"TRINITY_DN1009177_c0_g1_i1"
"552"	"K11291"	"TRINITY_DN1009235_c0_g1_i1"
"563"	"K24175"	"TRINITY_DN1009440_c0_g1_i1"
"570"	"K20995"	"TRINITY_DN1009553_c0_g1_i1"
"571"	"K24091"	"TRINITY_DN1009557_c0_g1_i1"
"577"	"K17199"	"TRINITY_DN1009774_c0_g1_i1"
"579"	"K00700"	"TRINITY_DN100977_c0_g1_i8"
"580"	"K22411"	"TRINITY_DN100977_c0_g2_i1"
"587"	"K01520"	"TRINITY_DN100989_c0_g1_i2"
"591"	"K06240"	"TRINITY_DN1010043_c0_g1_i1"
"600"	"K12567"	"TRINITY_DN10101_c0_g2_i1"
"604"	"K02975"	"TRINITY_DN101029_c1_g1_i1"
"605"	"K02975"	"TRINITY_DN101029_c1_g1_i2"
"606"	"K02975"	"TRINITY_DN101029_c1_g1_i5"
"608"	"K08057"	"TRINITY_DN101033_c0_g1_i1"
"611"	"K14217"	"TRINITY_DN1010443_c0_g1_i1"
"619"	"K02967"	"TRINITY_DN1010728_c0_g1_i1"
"625"	"K12741"	"TRINITY_DN1010856_c0_g1_i1"
"639"	"K21914"	"TRINITY_DN1011122_c0_g1_i1"
"641"	"K06689"	"TRINITY_DN101113_c0_g2_i1"
"654"	"K15202"	"TRINITY_DN1011459_c0_g1_i1"
"661"	"K05356"	"TRINITY_DN101170_c0_g1_i1"
"662"	"K03007"	"TRINITY_DN1011719_c0_g1_i1"
"676"	"K16810"	"TRINITY_DN1012120_c0_g1_i1"
"689"	"K13886"	"TRINITY_DN101257_c0_g1_i1"
"690"	"K13886"	"TRINITY_DN101257_c0_g2_i1"
"694"	"K02078"	"TRINITY_DN1012644_c0_g1_i1"
"700"	"K05657"	"TRINITY_DN1012885_c0_g1_i1"
"710"	"K03962"	"TRINITY_DN1013306_c0_g1_i1"
"720"	"K17302"	"TRINITY_DN1013454_c0_g1_i1"
"721"	"K14799"	"TRINITY_DN1013465_c0_g1_i1"
"735"	"K24642"	"TRINITY_DN1013799_c0_g1_i1"
"739"	"K11544"	"TRINITY_DN1013875_c0_g1_i1"
"744"	"K03254"	"TRINITY_DN101422_c0_g1_i2"
"746"	"K04857"	"TRINITY_DN1014286_c0_g1_i1"
"753"	"K02183"	"TRINITY_DN1014656_c0_g1_i1"
"755"	"K04550"	"TRINITY_DN1014738_c0_g1_i1"
"757"	"K02132"	"TRINITY_DN101481_c0_g1_i2"
"758"	"K02132"	"TRINITY_DN101481_c0_g3_i1"
"759"	"K02132"	"TRINITY_DN101481_c1_g1_i1"
"760"	"K02132"	"TRINITY_DN101481_c1_g1_i3"
"761"	"K02132"	"TRINITY_DN101481_c1_g1_i4"
"762"	"K02132"	"TRINITY_DN101481_c1_g1_i5"
"763"	"K02132"	"TRINITY_DN101481_c1_g2_i1"
"764"	"K02132"	"TRINITY_DN101481_c1_g2_i2"
"765"	"K26434"	"TRINITY_DN1014851_c0_g1_i1"
"766"	"K09360"	"TRINITY_DN10148_c5_g1_i1"
"772"	"K14810"	"TRINITY_DN1015187_c0_g1_i1"
"773"	"K18622"	"TRINITY_DN1015195_c0_g1_i1"
"785"	"K11838"	"TRINITY_DN1015367_c0_g1_i1"
"788"	"K02894"	"TRINITY_DN1015418_c0_g1_i1"
"791"	"K13997"	"TRINITY_DN101546_c1_g1_i5"
"795"	"K03320"	"TRINITY_DN1015521_c0_g1_i1"
"797"	"K01640"	"TRINITY_DN10155_c0_g1_i1"
"799"	"K03544"	"TRINITY_DN1015757_c0_g1_i1"
"806"	"K07767"	"TRINITY_DN1016090_c0_g1_i1"
"816"	"K01965"	"TRINITY_DN1016407_c0_g1_i1"
"833"	"K08852"	"TRINITY_DN101723_c0_g1_i1"
"835"	"K03046"	"TRINITY_DN1017_c0_g2_i1"
"840"	"K15369"	"TRINITY_DN101889_c0_g3_i1"
"863"	"K10408"	"TRINITY_DN102001_c0_g1_i1"
"868"	"K13158"	"TRINITY_DN10208_c0_g1_i1"
"869"	"K13158"	"TRINITY_DN10208_c0_g1_i3"
"870"	"K13158"	"TRINITY_DN10208_c0_g1_i7"
"871"	"K08916"	"TRINITY_DN10211_c0_g1_i1"
"873"	"K08679"	"TRINITY_DN102187_c0_g1_i1"
"874"	"K08679"	"TRINITY_DN102187_c0_g1_i2"
"875"	"K08679"	"TRINITY_DN102187_c0_g1_i3"
"876"	"K08679"	"TRINITY_DN102187_c0_g1_i4"
"877"	"K08679"	"TRINITY_DN102187_c0_g1_i5"
"879"	"K01177"	"TRINITY_DN102224_c0_g1_i5"
"882"	"K02146"	"TRINITY_DN102241_c0_g1_i1"
"889"	"K00434"	"TRINITY_DN102290_c0_g1_i1"
"890"	"K00434"	"TRINITY_DN102290_c0_g1_i2"
"905"	"K16342"	"TRINITY_DN102353_c0_g2_i1"
"908"	"K24469"	"TRINITY_DN102367_c0_g1_i2"
"909"	"K24469"	"TRINITY_DN102367_c0_g1_i4"
"914"	"K13207"	"TRINITY_DN102378_c0_g1_i1"
"916"	"K23541"	"TRINITY_DN102380_c0_g1_i1"
"917"	"K23541"	"TRINITY_DN102380_c0_g1_i2"
"925"	"K10347"	"TRINITY_DN102396_c2_g1_i2"
"926"	"K24032"	"TRINITY_DN102396_c2_g2_i2"
"933"	"K03104"	"TRINITY_DN102406_c1_g2_i1"
"937"	"K09503"	"TRINITY_DN102440_c0_g3_i1"
"943"	"K05849"	"TRINITY_DN102492_c0_g1_i1"
"944"	"K12619"	"TRINITY_DN102498_c0_g1_i4"
"945"	"K07516"	"TRINITY_DN10249_c0_g1_i11"
"946"	"K07516"	"TRINITY_DN10249_c0_g1_i12"
"947"	"K07516"	"TRINITY_DN10249_c0_g1_i4"
"948"	"K07516"	"TRINITY_DN10249_c0_g1_i5"
"949"	"K07516"	"TRINITY_DN10249_c0_g1_i6"
"950"	"K07516"	"TRINITY_DN10249_c0_g1_i8"
"951"	"K07516"	"TRINITY_DN10249_c0_g1_i9"
"956"	"K02151"	"TRINITY_DN102519_c0_g1_i1"
"962"	"K02641"	"TRINITY_DN102570_c0_g1_i1"
"963"	"K02641"	"TRINITY_DN102570_c1_g1_i1"
"964"	"K02641"	"TRINITY_DN102570_c1_g1_i3"
"965"	"K02641"	"TRINITY_DN102570_c1_g1_i4"
"966"	"K02641"	"TRINITY_DN102570_c1_g2_i1"
"974"	"K24400"	"TRINITY_DN102601_c0_g1_i4"
"979"	"K17602"	"TRINITY_DN10266_c1_g1_i11"
"984"	"K21993"	"TRINITY_DN102680_c0_g1_i1"
"990"	"K06269"	"TRINITY_DN102688_c0_g1_i1"
"991"	"K06269"	"TRINITY_DN102688_c0_g2_i2"
"992"	"K06269"	"TRINITY_DN102688_c0_g2_i3"
"993"	"K06269"	"TRINITY_DN102688_c0_g2_i4"
"994"	"K06269"	"TRINITY_DN102688_c0_g3_i1"
"995"	"K06269"	"TRINITY_DN102688_c0_g5_i1"
"996"	"K06269"	"TRINITY_DN102688_c1_g2_i1"
"998"	"K00573"	"TRINITY_DN102689_c0_g1_i2"
"1000"	"K23379"	"TRINITY_DN102701_c0_g1_i1"
"1001"	"K08654"	"TRINITY_DN102701_c0_g2_i1"
"1005"	"K15166"	"TRINITY_DN10272_c0_g1_i8"
"1008"	"K20286"	"TRINITY_DN102735_c0_g2_i1"
"1012"	"K07056"	"TRINITY_DN10273_c0_g4_i1"
"1016"	"K10881"	"TRINITY_DN102787_c0_g2_i1"
"1034"	"K14498"	"TRINITY_DN102885_c0_g1_i1"
"1052"	"K08064"	"TRINITY_DN102979_c0_g2_i1"
"1053"	"K09580"	"TRINITY_DN10297_c0_g1_i7"
"1054"	"K09580"	"TRINITY_DN10297_c3_g1_i1"
"1062"	"K02132"	"TRINITY_DN103005_c0_g1_i2"
"1063"	"K10352"	"TRINITY_DN103033_c0_g1_i1"
"1067"	"K16726"	"TRINITY_DN103055_c0_g1_i4"
"1069"	"K14950"	"TRINITY_DN103088_c0_g1_i1"
"1082"	"K02090"	"TRINITY_DN103149_c1_g1_i6"
"1090"	"K11418"	"TRINITY_DN103223_c0_g1_i1"
"1092"	"K19681"	"TRINITY_DN103228_c0_g1_i1"
"1099"	"K02929"	"TRINITY_DN103240_c2_g1_i1"
"1100"	"K02929"	"TRINITY_DN103240_c3_g1_i1"
"1104"	"K07374"	"TRINITY_DN103280_c0_g1_i2"
"1105"	"K07374"	"TRINITY_DN103280_c0_g1_i3"
"1113"	"K11251"	"TRINITY_DN103359_c0_g1_i1"
"1114"	"K11251"	"TRINITY_DN103359_c0_g1_i2"
"1115"	"K11251"	"TRINITY_DN103359_c0_g1_i3"
"1118"	"K04305"	"TRINITY_DN103374_c6_g1_i1"
"1127"	"K07427"	"TRINITY_DN103422_c1_g1_i2"
"1130"	"K11308"	"TRINITY_DN103438_c0_g1_i1"
"1133"	"K04565"	"TRINITY_DN103447_c0_g1_i1"
"1134"	"K04565"	"TRINITY_DN103447_c0_g2_i1"
"1135"	"K13706"	"TRINITY_DN103453_c0_g1_i1"
"1166"	"K10256"	"TRINITY_DN103535_c0_g1_i1"
"1174"	"K02694"	"TRINITY_DN103619_c0_g1_i1"
"1175"	"K02694"	"TRINITY_DN103619_c0_g1_i2"
"1176"	"K02694"	"TRINITY_DN103619_c0_g1_i4"
"1177"	"K04460"	"TRINITY_DN103621_c0_g1_i4"
"1184"	"K03231"	"TRINITY_DN10368_c0_g1_i1"
"1197"	"K10587"	"TRINITY_DN103793_c0_g1_i4"
"1202"	"K10393"	"TRINITY_DN103802_c0_g1_i7"
"1203"	"K10405"	"TRINITY_DN103802_c3_g1_i1"
"1205"	"K09500"	"TRINITY_DN103830_c0_g1_i1"
"1206"	"K04520"	"TRINITY_DN103830_c0_g2_i3"
"1207"	"K04520"	"TRINITY_DN103830_c0_g3_i1"
"1208"	"K04520"	"TRINITY_DN103830_c0_g3_i4"
"1209"	"K06963"	"TRINITY_DN103840_c0_g1_i4"
"1211"	"K11087"	"TRINITY_DN103848_c0_g1_i1"
"1215"	"K02910"	"TRINITY_DN103917_c0_g1_i1"
"1216"	"K02910"	"TRINITY_DN103917_c0_g1_i2"
"1217"	"K02910"	"TRINITY_DN103917_c0_g2_i1"
"1221"	"K02902"	"TRINITY_DN10391_c0_g1_i2"
"1230"	"K13348"	"TRINITY_DN104016_c0_g1_i4"
"1232"	"K07243"	"TRINITY_DN104024_c0_g1_i1"
"1233"	"K07243"	"TRINITY_DN104024_c0_g1_i2"
"1234"	"K07243"	"TRINITY_DN104024_c0_g1_i3"
"1235"	"K07243"	"TRINITY_DN104024_c0_g1_i4"
"1236"	"K18183"	"TRINITY_DN104036_c0_g1_i6"
"1237"	"K00323"	"TRINITY_DN104050_c0_g1_i1"
"1245"	"K18170"	"TRINITY_DN104192_c0_g1_i5"
"1249"	"K07300"	"TRINITY_DN104220_c0_g1_i2"
"1256"	"K18728"	"TRINITY_DN104282_c0_g1_i1"
"1261"	"K01915"	"TRINITY_DN104359_c0_g1_i1"
"1270"	"K17821"	"TRINITY_DN1043_c13_g1_i1"
"1278"	"K07203"	"TRINITY_DN10443_c1_g2_i1"
"1285"	"K25439"	"TRINITY_DN104661_c0_g1_i1"
"1289"	"K02183"	"TRINITY_DN1046_c0_g1_i4"
"1291"	"K08341"	"TRINITY_DN10472_c0_g1_i2"
"1303"	"K00889"	"TRINITY_DN105041_c1_g3_i1"
"1304"	"K00889"	"TRINITY_DN105041_c1_g3_i2"
"1305"	"K00889"	"TRINITY_DN105041_c1_g3_i3"
"1306"	"K22128"	"TRINITY_DN105047_c0_g1_i1"
"1319"	"K23193"	"TRINITY_DN10526_c1_g1_i2"
"1320"	"K11262"	"TRINITY_DN10529_c0_g1_i1"
"1321"	"K11262"	"TRINITY_DN10529_c0_g1_i2"
"1322"	"K11262"	"TRINITY_DN10529_c0_g1_i3"
"1323"	"K11262"	"TRINITY_DN10529_c0_g1_i4"
"1324"	"K11262"	"TRINITY_DN10529_c0_g1_i5"
"1325"	"K11262"	"TRINITY_DN10529_c0_g1_i6"
"1326"	"K11262"	"TRINITY_DN10529_c1_g1_i1"
"1330"	"K02357"	"TRINITY_DN105426_c0_g1_i2"
"1333"	"K02930"	"TRINITY_DN105440_c0_g2_i1"
"1339"	"K08472"	"TRINITY_DN10556_c0_g1_i1"
"1348"	"K10400"	"TRINITY_DN105789_c0_g1_i1"
"1357"	"K02690"	"TRINITY_DN105943_c5_g1_i1"
"1376"	"K01915"	"TRINITY_DN10620_c0_g1_i1"
"1377"	"K01915"	"TRINITY_DN10620_c0_g1_i11"
"1378"	"K01915"	"TRINITY_DN10620_c0_g1_i13"
"1380"	"K01915"	"TRINITY_DN10620_c0_g1_i17"
"1382"	"K01915"	"TRINITY_DN10620_c0_g1_i19"
"1383"	"K01915"	"TRINITY_DN10620_c0_g1_i2"
"1384"	"K01915"	"TRINITY_DN10620_c0_g1_i6"
"1385"	"K01915"	"TRINITY_DN10620_c0_g1_i7"
"1386"	"K01915"	"TRINITY_DN10620_c0_g1_i8"
"1392"	"K08867"	"TRINITY_DN1062_c2_g4_i1"
"1397"	"K19676"	"TRINITY_DN106351_c0_g1_i1"
"1398"	"K19676"	"TRINITY_DN106351_c0_g2_i1"
"1399"	"K19676"	"TRINITY_DN106351_c0_g3_i1"
"1412"	"K10704"	"TRINITY_DN10649_c0_g1_i1"
"1414"	"K12823"	"TRINITY_DN106554_c0_g2_i1"
"1428"	"K02727"	"TRINITY_DN106654_c0_g1_i1"
"1429"	"K02727"	"TRINITY_DN106654_c0_g2_i1"
"1430"	"K02922"	"TRINITY_DN106671_c1_g1_i1"
"1449"	"K03531"	"TRINITY_DN106850_c0_g1_i1"
"1453"	"K01963"	"TRINITY_DN106909_c0_g1_i1"
"1460"	"K02706"	"TRINITY_DN106_c0_g1_i1"
"1461"	"K02706"	"TRINITY_DN106_c0_g1_i12"
"1462"	"K02690"	"TRINITY_DN106_c0_g1_i14"
"1463"	"K02112"	"TRINITY_DN106_c0_g1_i18"
"1464"	"K02706"	"TRINITY_DN106_c0_g1_i19"
"1466"	"K02706"	"TRINITY_DN106_c0_g1_i9"
"1469"	"K12850"	"TRINITY_DN107054_c0_g1_i2"
"1470"	"K12850"	"TRINITY_DN107054_c0_g1_i4"
"1473"	"K02224"	"TRINITY_DN107092_c0_g1_i4"
"1474"	"K07202"	"TRINITY_DN107095_c0_g1_i4"
"1491"	"K15306"	"TRINITY_DN107126_c0_g1_i1"
"1492"	"K00968"	"TRINITY_DN107146_c0_g1_i5"
"1496"	"K23424"	"TRINITY_DN10718_c2_g1_i13"
"1509"	"K02917"	"TRINITY_DN107236_c0_g1_i2"
"1512"	"K12835"	"TRINITY_DN107251_c0_g1_i2"
"1513"	"K07300"	"TRINITY_DN107258_c0_g1_i1"
"1514"	"K14498"	"TRINITY_DN107267_c0_g1_i2"
"1520"	"K20168"	"TRINITY_DN107305_c0_g1_i2"
"1525"	"K12489"	"TRINITY_DN107323_c0_g1_i1"
"1526"	"K12489"	"TRINITY_DN107323_c0_g4_i1"
"1529"	"K01537"	"TRINITY_DN107354_c0_g1_i1"
"1533"	"K02690"	"TRINITY_DN107380_c0_g1_i2"
"1536"	"K20359"	"TRINITY_DN107388_c0_g1_i1"
"1537"	"K10590"	"TRINITY_DN107389_c0_g1_i1"
"1541"	"K24262"	"TRINITY_DN10741_c0_g2_i1"
"1542"	"K24262"	"TRINITY_DN10741_c0_g2_i10"
"1543"	"K24262"	"TRINITY_DN10741_c0_g2_i3"
"1544"	"K24262"	"TRINITY_DN10741_c0_g2_i8"
"1547"	"K12893"	"TRINITY_DN107432_c0_g1_i1"
"1549"	"K12465"	"TRINITY_DN107441_c0_g1_i3"
"1550"	"K17908"	"TRINITY_DN107451_c0_g1_i2"
"1552"	"K01872"	"TRINITY_DN107462_c0_g1_i2"
"1553"	"K04718"	"TRINITY_DN107462_c0_g1_i5"
"1554"	"K24680"	"TRINITY_DN107469_c0_g1_i7"
"1555"	"K24680"	"TRINITY_DN107469_c0_g3_i1"
"1557"	"K02128"	"TRINITY_DN107491_c0_g1_i1"
"1560"	"K00033"	"TRINITY_DN107497_c1_g2_i1"
"1563"	"K23792"	"TRINITY_DN107500_c0_g1_i2"
"1564"	"K23792"	"TRINITY_DN107500_c0_g1_i3"
"1565"	"K23792"	"TRINITY_DN107500_c0_g1_i4"
"1567"	"K05869"	"TRINITY_DN107528_c0_g1_i1"
"1591"	"K01601"	"TRINITY_DN107697_c0_g1_i4"
"1594"	"K00597"	"TRINITY_DN107720_c0_g1_i4"
"1612"	"K00134"	"TRINITY_DN107804_c0_g2_i1"
"1613"	"K00134"	"TRINITY_DN107804_c0_g2_i2"
"1617"	"K22390"	"TRINITY_DN107847_c0_g1_i5"
"1618"	"K10807"	"TRINITY_DN107872_c0_g1_i1"
"1619"	"K00525"	"TRINITY_DN107872_c0_g2_i1"
"1624"	"K02575"	"TRINITY_DN1078_c0_g1_i1"
"1625"	"K02575"	"TRINITY_DN1078_c0_g1_i10"
"1626"	"K02575"	"TRINITY_DN1078_c0_g1_i11"
"1627"	"K02575"	"TRINITY_DN1078_c0_g1_i12"
"1628"	"K02575"	"TRINITY_DN1078_c0_g1_i13"
"1629"	"K02575"	"TRINITY_DN1078_c0_g1_i14"
"1630"	"K02575"	"TRINITY_DN1078_c0_g1_i15"
"1631"	"K02575"	"TRINITY_DN1078_c0_g1_i17"
"1632"	"K02575"	"TRINITY_DN1078_c0_g1_i18"
"1633"	"K02575"	"TRINITY_DN1078_c0_g1_i2"
"1634"	"K02575"	"TRINITY_DN1078_c0_g1_i3"
"1635"	"K02575"	"TRINITY_DN1078_c0_g1_i5"
"1636"	"K02575"	"TRINITY_DN1078_c0_g1_i6"
"1637"	"K02575"	"TRINITY_DN1078_c0_g1_i7"
"1644"	"K03926"	"TRINITY_DN107953_c0_g1_i1"
"1645"	"K08867"	"TRINITY_DN107978_c0_g1_i1"
"1646"	"K08867"	"TRINITY_DN107978_c0_g1_i2"
"1647"	"K08867"	"TRINITY_DN107978_c0_g1_i3"
"1648"	"K08867"	"TRINITY_DN107978_c0_g2_i1"
"1649"	"K08867"	"TRINITY_DN107978_c1_g1_i1"
"1650"	"K08867"	"TRINITY_DN107978_c1_g2_i2"
"1651"	"K00412"	"TRINITY_DN107_c0_g1_i13"
"1654"	"K00412"	"TRINITY_DN107_c0_g1_i9"
"1655"	"K02261"	"TRINITY_DN107_c0_g2_i1"
"1658"	"K02261"	"TRINITY_DN107_c0_g2_i4"
"1677"	"K08830"	"TRINITY_DN108190_c1_g1_i1"
"1683"	"K02873"	"TRINITY_DN108274_c0_g1_i1"
"1684"	"K02873"	"TRINITY_DN108274_c0_g2_i1"
"1692"	"K24014"	"TRINITY_DN1082_c0_g2_i2"
"1695"	"K24014"	"TRINITY_DN1082_c0_g2_i7"
"1696"	"K24014"	"TRINITY_DN1082_c0_g2_i8"
"1700"	"K02154"	"TRINITY_DN108313_c0_g1_i1"
"1701"	"K02154"	"TRINITY_DN108313_c0_g2_i1"
"1706"	"K10400"	"TRINITY_DN108463_c0_g1_i1"
"1708"	"K02908"	"TRINITY_DN108519_c0_g1_i1"
"1709"	"K02908"	"TRINITY_DN108519_c0_g1_i2"
"1710"	"K02908"	"TRINITY_DN108519_c0_g1_i3"
"1711"	"K02908"	"TRINITY_DN108519_c0_g1_i6"
"1722"	"K06271"	"TRINITY_DN10860_c0_g1_i1"
"1726"	"K03704"	"TRINITY_DN108618_c0_g1_i2"
"1727"	"K03704"	"TRINITY_DN108618_c0_g2_i1"
"1728"	"K03704"	"TRINITY_DN108618_c0_g2_i2"
"1735"	"K17925"	"TRINITY_DN10864_c0_g1_i6"
"1744"	"K20823"	"TRINITY_DN108728_c0_g1_i1"
"1745"	"K17725"	"TRINITY_DN108732_c0_g1_i1"
"1747"	"K17218"	"TRINITY_DN108732_c1_g1_i1"
"1759"	"K07198"	"TRINITY_DN108798_c0_g1_i1"
"1760"	"K04371"	"TRINITY_DN10882_c0_g1_i1"
"1769"	"K09391"	"TRINITY_DN108966_c0_g1_i2"
"1774"	"K03233"	"TRINITY_DN108_c7_g1_i1"
"1775"	"K03233"	"TRINITY_DN108_c7_g1_i2"
"1783"	"K00106"	"TRINITY_DN109161_c0_g1_i1"
"1784"	"K00106"	"TRINITY_DN109161_c0_g3_i1"
"1785"	"K00106"	"TRINITY_DN109161_c0_g4_i1"
"1795"	"K02302"	"TRINITY_DN109272_c1_g1_i1"
"1798"	"K03798"	"TRINITY_DN109344_c0_g2_i1"
"1799"	"K22530"	"TRINITY_DN109344_c1_g1_i1"
"1805"	"K14689"	"TRINITY_DN109547_c0_g1_i14"
