KEGG	JH1T	JH3T	JH4T	JH5T	JH6T	JH7T	JH1O	JH3O	JH4O	JH5O	JH6O	JH7O	JH1S	JH3S	JH4S	JH5S	JH6S	JH7S	GENE	PATHWAY	Transcripts_count
K02591	0	0	0	0	0	0	0	0	0	0	3.36425	4.97425	0	0	0	0	1.44625	3.426416667	K02591:nifF	Nitrogen	6
K02586	0	0	0	0	0	0	0	0	0	0	6.6501	0.107	0	0	0	0	2.7741	0.3522	K02586:nifD	Nitrogen	5
K02588	0	0	0	0.276277778	0	0	0	0	0	0	6.782666667	4.354055556	0	0	0	0	1.882666667	0.5775	K02588:nifH	Nitrogen	9
K00958	0.240772727	0.392	0.046909091	0.185295455	1.434090909	0.094454545	0.234590909	1.012340909	0.071954545	2.012613636	0.383431818	0.34725	1.534795455	2.249795455	0.298613636	0.777795455	1.026068182	0.280409091	"K00958:sat"	Sulfur	22
K00394	0	0	0	0	0	0.019	0	0	0	0	0	0.136636364	2.230136364	1.721681818	0.444045455	0	0	4.281272727	K00394:aprA	Sulfur	11
K00395	0	0	0	0	0	0	0	0	0	0	0	1.34475	2.049	8.878875	0	0	0	1.0705	K00395:aprB	Sulfur	4
K00387	3.803928571	0.857285714	1.253357143	1.019714286	2.4265	0.436928571	0	1.145785714	0.457857143	0	0	0.632785714	2.611428571	4.704785714	0.555357143	1.189357143	0.371357143	0	K00387:SUOX	Sulfur	7
K00392	0.0733	0.18695	0	0	0	0.0365	0.7105	0.2239	0.50065	2.4407	1.46455	0.72925	1.2942	0.0719	0.6727	0.39945	1.4279	0.4026	K00392:sir	Sulfur	10
K00860	0	0	0.5075	0	0	0	3.42925	4.1319375	0.203125	1.672125	0.688375	0.08025	0.9654375	11.561375	0.49975	0.2664375	0.452875	0.7255625	K00860:cysC	Sulfur	8
K01738	0.355303571	0.10375	0.063553571	0.126214286	0.274517857	0.0185	0.220910714	0.284482143	0.487857143	1.495607143	0.908428571	0.599214286	1.339946429	0.709410714	0.657946429	0.455625	1.104303571	0.819071429	K01738:cysK	Sulfur	28
K12339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.613	0	0	3.95	K12339:cysM	Sulfur	1
K00380	0.930590909	0.105681818	0.080181818	0.167136364	1.043090909	0.758590909	0	0	0.292545455	0	0.131681818	0.505363636	0.121136364	0	0.811909091	1.417818182	0.625954545	0.536363636	K00380:cysJ	Sulfur	11
K00381	0.940375	1.65925	0.55575	0.63975	2.3995	2.838125	1.0575	0	0.738	0.414	0.392375	0.682375	0	0	0.57125	2.089875	1.431	1.506625	K00381:cysI	Sulfur	4
K00957	0	0	0	0	0	0	0	0	0	0	0	0	0.8715	0	0.39675	6.06575	0	5.37475	K00957:cysD	Sulfur	2
PF04193	0.1709	0.3479	0	0.887166667	0.153066667	0	0.673833333	0.227166667	0.2663	0.122533333	1.065966667	0.0943	0.5299	0.2132	0.754466667	0.4219	0.887433333	0.2927	PF04193	Sugar Transport	15
PF03083	2.188625	0.486	0.35325	0	1.49675	0	0.3405	0	0	0.221875	0.219625	0	0	0	0.88675	1.439	2.188625	0.59925	PF03083	Sugar Transport	4
