Seq	Level1	Level2	Level3	Level4	Level5	Level6	Level7
Seq40	Archaea	Asgardarchaeota	Heimdallarchaeia	unidentified archaeon	unidentified archaeon	unidentified archaeon	unidentified archaeon
Seq41	Archaea	Asgardarchaeota	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia	Lokiarchaeia
Seq42	Archaea	Asgardarchaeota	Lokiarchaeia	uncultured archaeon VC2.1 Arc31	uncultured archaeon VC2.1 Arc31	uncultured archaeon VC2.1 Arc31	uncultured archaeon VC2.1 Arc31
Seq43	Archaea	Asgardarchaeota	Lokiarchaeia	uncultured archaeon	uncultured archaeon	uncultured archaeon	uncultured archaeon
Seq44	Archaea	Asgardarchaeota	Lokiarchaeia	uncultured crenarchaeote	uncultured crenarchaeote	uncultured crenarchaeote	uncultured crenarchaeote
Seq45	Archaea	Asgardarchaeota	Lokiarchaeia	uncultured euryarchaeote	uncultured euryarchaeote	uncultured euryarchaeote	uncultured euryarchaeote
Seq46	Archaea	Asgardarchaeota	Lokiarchaeia	uncultured marine archaeon	uncultured marine archaeon	uncultured marine archaeon	uncultured marine archaeon
Seq47	Archaea	Asgardarchaeota	Lokiarchaeia	unidentified archaeon	unidentified archaeon	unidentified archaeon	unidentified archaeon
Seq48	Archaea	Asgardarchaeota	Odinarchaeia	Odinarchaeia	Odinarchaeia	Odinarchaeia	Odinarchaeia
Seq49	Archaea	Asgardarchaeota	Odinarchaeia	Candidatus Odinarchaeota archaeon LCB_4	Candidatus Odinarchaeota archaeon LCB_4	Candidatus Odinarchaeota archaeon LCB_4	Candidatus Odinarchaeota archaeon LCB_4
Seq50	Archaea	Asgardarchaeota	Odinarchaeia	uncultured archaeon	uncultured archaeon	uncultured archaeon	uncultured archaeon
Seq51	Archaea	Asgardarchaeota	Odinarchaeia	uncultured crenarchaeote pBRKC82	uncultured crenarchaeote pBRKC82	uncultured crenarchaeote pBRKC82	uncultured crenarchaeote pBRKC82
Seq52	Archaea	Asgardarchaeota	Odinarchaeia	uncultured crenarchaeote	uncultured crenarchaeote	uncultured crenarchaeote	uncultured crenarchaeote
Seq53	Archaea	Asgardarchaeota	Odinarchaeia	uncultured eukaryote	uncultured eukaryote	uncultured eukaryote	uncultured eukaryote
Seq54	Archaea	Asgardarchaeota	Odinarchaeia	uncultured euryarchaeote pBRKC22	uncultured euryarchaeote pBRKC22	uncultured euryarchaeote pBRKC22	uncultured euryarchaeote pBRKC22
Seq55	Archaea	Asgardarchaeota	Odinarchaeia	uncultured marine archaeon	uncultured marine archaeon	uncultured marine archaeon	uncultured marine archaeon
Seq56	Archaea	Asgardarchaeota	Odinarchaeia	uncultured sediment archaeon	uncultured sediment archaeon	uncultured sediment archaeon	uncultured sediment archaeon
Seq57	Archaea	Asgardarchaeota	Odinarchaeia	unidentified archaeon	unidentified archaeon	unidentified archaeon	unidentified archaeon
Seq58	Archaea	Asgardarchaeota	uncultured archaeon	uncultured archaeon	uncultured archaeon	uncultured archaeon	uncultured archaeon
Seq59	Archaea	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota
Seq60	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia
Seq61	Archaea	Crenarchaeota	Bathyarchaeia	Candidatus Bathyarchaeota archaeon BA1	Candidatus Bathyarchaeota archaeon BA1	Candidatus Bathyarchaeota archaeon BA1	Candidatus Bathyarchaeota archaeon BA1
Seq62	Archaea	Crenarchaeota	Bathyarchaeia	Candidatus Bathyarchaeota archaeon JdFR-10	Candidatus Bathyarchaeota archaeon JdFR-10	Candidatus Bathyarchaeota archaeon JdFR-10	Candidatus Bathyarchaeota archaeon JdFR-10
Seq63	Archaea	Crenarchaeota	Bathyarchaeia	Candidatus Bathyarchaeota archaeon RBG_16_48_13	Candidatus Bathyarchaeota archaeon RBG_16_48_13	Candidatus Bathyarchaeota archaeon RBG_16_48_13	Candidatus Bathyarchaeota archaeon RBG_16_48_13
Seq64	Archaea	Crenarchaeota	Bathyarchaeia	marine metagenome	marine metagenome	marine metagenome	marine metagenome
Seq65	Archaea	Crenarchaeota	Bathyarchaeia	marine sediment metagenome	marine sediment metagenome	marine sediment metagenome	marine sediment metagenome
Seq66	Archaea	Crenarchaeota	Bathyarchaeia	miscellaneous Crenarchaeota group archaeon SMTZ-80	miscellaneous Crenarchaeota group archaeon SMTZ-80	miscellaneous Crenarchaeota group archaeon SMTZ-80	miscellaneous Crenarchaeota group archaeon SMTZ-80
Seq67	Archaea	Crenarchaeota	Bathyarchaeia	uncultured Desulfurococcales archaeon	uncultured Desulfurococcales archaeon	uncultured Desulfurococcales archaeon	uncultured Desulfurococcales archaeon
Seq68	Archaea	Crenarchaeota	Bathyarchaeia	uncultured Thermoprotei archaeon	uncultured Thermoprotei archaeon	uncultured Thermoprotei archaeon	uncultured Thermoprotei archaeon
Seq69	Archaea	Crenarchaeota	Bathyarchaeia	uncultured archaeon	uncultured archaeon	uncultured archaeon	uncultured archaeon
Seq70	Archaea	Crenarchaeota	Bathyarchaeia	uncultured crenarchaeote	uncultured crenarchaeote	uncultured crenarchaeote	uncultured crenarchaeote
Seq71	Archaea	Crenarchaeota	Bathyarchaeia	uncultured marine crenarchaeote E48-1C	uncultured marine crenarchaeote E48-1C	uncultured marine crenarchaeote E48-1C	uncultured marine crenarchaeote E48-1C
Seq72	Archaea	Crenarchaeota	Bathyarchaeia	uncultured marine crenarchaeote E6-3G	uncultured marine crenarchaeote E6-3G	uncultured marine crenarchaeote E6-3G	uncultured marine crenarchaeote E6-3G
Seq73	Archaea	Crenarchaeota	Bathyarchaeia	uncultured miscellaneous Crenarchaeota group	uncultured miscellaneous Crenarchaeota group	uncultured miscellaneous Crenarchaeota group	uncultured miscellaneous Crenarchaeota group
Seq74	Archaea	Crenarchaeota	Bathyarchaeia	uncultured organism	uncultured organism	uncultured organism	uncultured organism
Seq75	Archaea	Crenarchaeota	Bathyarchaeia	uncultured sediment archaeon	uncultured sediment archaeon	uncultured sediment archaeon	uncultured sediment archaeon
Seq76	Archaea	Crenarchaeota	Methanomethylicia	Methanomethyliales	Methanomethyliaceae	Candidatus Methanomethylicus	Candidatus Methanomethylicus
Seq77	Archaea	Crenarchaeota	Methanomethylicia	Methanomethyliales	Methanomethyliaceae	Candidatus Methanomethylicus	uncultured archaeon
Seq78	Archaea	Crenarchaeota	Methanomethylicia	Methanomethyliales	Methanomethyliaceae	Candidatus Methanomethylicus	uncultured crenarchaeote
Seq79	Archaea	Crenarchaeota	Methanomethylicia	Methanomethyliales	Methanomethyliaceae	uncultured archaeon	uncultured archaeon
Seq80	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaeria	Nitrososphaeria	Nitrososphaeria	Nitrososphaeria
Seq81	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Caldiarchaeaceae	Candidatus Caldiarchaeum	Candidatus Caldiarchaeum
Seq82	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Caldiarchaeaceae	Candidatus Caldiarchaeum	Candidatus Caldiarchaeum subterraneum
Seq83	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Caldiarchaeaceae	Candidatus Caldiarchaeum	uncultured archaeon
Seq84	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Caldiarchaeaceae	Candidatus Caldiarchaeum	uncultured crenarchaeote
Seq85	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Geothermarchaeaceae	uncultured archaeon	uncultured archaeon
Seq86	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Geothermarchaeaceae	uncultured crenarchaeote	uncultured crenarchaeote
Seq87	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Geothermarchaeaceae	uncultured marine archaeon	uncultured marine archaeon
Seq88	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Terrestrial Hot Spring GpTHSCG	Terrestrial Hot Spring GpTHSCG	Terrestrial Hot Spring GpTHSCG
Seq89	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Terrestrial Hot Spring GpTHSCG	uncultured archaeon	uncultured archaeon
Seq90	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Terrestrial Hot Spring GpTHSCG	uncultured crenarchaeote	uncultured crenarchaeote
Seq91	Archaea	Crenarchaeota	Nitrososphaeria	Caldiarchaeales	Terrestrial Hot Spring GpTHSCG	unidentified archaeon	unidentified archaeon
Seq92	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	Group 1.1c	Group 1.1c	Group 1.1c
Seq93	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	uncultured archaeon	uncultured archaeon	uncultured archaeon
Seq94	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	uncultured crenarchaeote	uncultured crenarchaeote	uncultured crenarchaeote
Seq95	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	uncultured thaumarchaeote	uncultured thaumarchaeote	uncultured thaumarchaeote
Seq96	Archaea	Crenarchaeota	Nitrososphaeria	Marine Benthic Group A	Marine Benthic Group A	Marine Benthic Group A	Marine Benthic Group A
Seq97	Archaea	Crenarchaeota	Nitrososphaeria	Marine Benthic Group A	uncultured archaeon	uncultured archaeon	uncultured archaeon
Seq98	Archaea	Crenarchaeota	Nitrososphaeria	Marine Benthic Group A	uncultured crenarchaeote	uncultured crenarchaeote	uncultured crenarchaeote
Seq99	Archaea	Crenarchaeota	Nitrososphaeria	Marine Benthic Group A	uncultured marine crenarchaeote AD1000-325-A12	uncultured marine crenarchaeote AD1000-325-A12	uncultured marine crenarchaeote AD1000-325-A12
Seq100	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosocaldales	Nitrosocaldaceae	Candidatus Nitrosocaldus	Candidatus Nitrosocaldus
Seq101	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosocaldales	Nitrosocaldaceae	Candidatus Nitrosocaldus	uncultured archaeon
Seq102	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosocaldales	Nitrosocaldaceae	Candidatus Nitrosocaldus	uncultured crenarchaeote
Seq103	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosocaldales	Nitrosocaldaceae	Candidatus Nitrosocaldus	uncultured thaumarchaeote
Seq104	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosocaldales	Nitrosocaldaceae	uncultured	uncultured archaeon
Seq105	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae	Nitrosopumilaceae
Seq106	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopelagicus	Candidatus Nitrosopelagicus
Seq107	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopelagicus	archaeon enrichment culture clone CN25
Seq108	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopelagicus	marine metagenome
Seq109	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopelagicus	uncultured archaeon
Seq110	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopelagicus	uncultured thaumarchaeote
Seq111	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopelagicus	unidentified archaeon PM7
Seq112	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	Candidatus Nitrosopumilus
Seq113	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	Nitrosopumilus maritimus SCM1
Seq114	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	Nitrosopumilus sp. DDS1
Seq115	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	Nitrosopumilus sp. LS_AOA
Seq116	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	Nitrosopumilus sp. Nsub
Seq117	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	Thaumarchaeota archaeon NAOA2
Seq118	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	Thaumarchaeota archaeon SCGC AAA282-K18
Seq119	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	marine metagenome
Seq120	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	marine sediment metagenome
Seq121	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured Nitrosopumilaceae archaeon
Seq122	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured Nitrosopumilales archaeon
Seq123	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured archaeon
Seq124	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured archaeon CRA36-0cm
Seq125	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured archaeon CRA7-11cm
Seq126	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured bacterium
Seq127	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured crenarchaeote
Seq128	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured eukaryote
Seq129	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured marine archaeon
Seq130	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured marine crenarchaeote Gulf of Maine
Seq131	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured marine group I thaumarchaeote
Seq132	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured sediment archaeon
Seq133	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	uncultured thaumarchaeote
Seq134	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	unidentified archaeon
Seq135	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	unidentified archaeon C20
Seq136	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	unidentified archaeon C46
Seq137	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosotenuis	Candidatus Nitrosotenuis
Seq138	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosotenuis	Thaumarchaeota archaeon N4
Seq139	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosotenuis	marine metagenome
Seq140	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosotenuis	uncultured crenarchaeote
Seq141	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cenarchaeum	Cenarchaeum
Seq142	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cenarchaeum	Cenarchaeum symbiosum
Seq143	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cenarchaeum	Thermoplasmatales archaeon Gpl
Seq144	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cenarchaeum	uncultured Cenarchaeaceae thaumarchaeote
Seq145	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cenarchaeum	uncultured archaeon
Seq146	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cenarchaeum	uncultured bacterium
Seq147	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cenarchaeum	uncultured crenarchaeote
Seq148	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	Nitrosarchaeum
Seq149	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	Candidatus Nitrosoarchaeum koreensis MY1
Seq150	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	uncultured archaeon
Seq151	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	uncultured archaeon SAGMA-1
Seq152	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	uncultured crenarchaeote
Seq153	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosarchaeum	uncultured thaumarchaeote
Seq154	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Thaumarchaeota archaeon CSP1-1	Thaumarchaeota archaeon CSP1-1
Seq155	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Thaumarchaeota archaeon SCGC AAA007-O23	Thaumarchaeota archaeon SCGC AAA007-O23
Seq156	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Thermoplasmatales archaeon Gpl	Thermoplasmatales archaeon Gpl
Seq157	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured Nitrosopumilales archaeon	uncultured Nitrosopumilales archaeon
Seq158	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured archaeon 19a-27	uncultured archaeon 19a-27
Seq159	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured archaeon APA3-0cm	uncultured archaeon APA3-0cm
Seq160	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured archaeon CRA7-0cm	uncultured archaeon CRA7-0cm
Seq161	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured archaeon W4-93a	uncultured archaeon W4-93a
Seq162	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured archaeon	uncultured archaeon
Seq163	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured bacterium	uncultured bacterium
Seq164	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured crenarchaeote DeepAnt-EC39	uncultured crenarchaeote DeepAnt-EC39
Seq165	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured crenarchaeote	uncultured crenarchaeote
Seq166	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured marine archaeon	uncultured marine archaeon
Seq167	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured marine crenarchaeote AD1000-207-H3	uncultured marine crenarchaeote AD1000-207-H3
Seq168	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured marine crenarchaeote SAT1000-49-D2	uncultured marine crenarchaeote SAT1000-49-D2
Seq169	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	uncultured marine group I thaumarchaeote	uncultured marine group I thaumarchaeote
